1, 19.3, 10.8, 24.1, 9.3
2, 12.5, 8.9, 21.0, 10.0
3, 19.6, 4.9, 24.6, 5.6
4, 15.6, 14.2, 28.7, 12.7
5, 16.7, 3.3, 16.6, 23.1
6, 13.7, 13.4, 25.2, 15.7
7, 7.2, 6.9, 19.4, 8.8
8, 26.1, 12.1, 25.7, 24.6
9, 27.2, 3.0, 16.0, 16.7
10, 22.9, 5.2, 18.5, 21.6
11, 26.1, 12.8, 27.2, 7.2
12, 7.7, 14.9, 21.9, 15.1
13, 9.7, 5.2, 16.3, 11.7
14, 9.9, 14.9, 15.6, 15.5
15, 8.3, 7.7, 23.3, 14.7
16, 24.5, 14.5, 29.8, 13.3
17, 16.7, 5.5, 27.5, 10.1
18, 10.8, 5.4, 24.9, 24.2
19, 5.2, 7.3, 28.5, 10.9
20, 19.7, 11.1, 17.2, 10.8
21, 26.2, 12.2, 23.8, 24.2
22, 28.2, 10.6, 28.0, 5.8
23, 16.7, 7.0, 22.2, 11.2
24, 17.4, 11.6, 17.1, 8.1
25, 10.4, 5.1, 29.0, 9.6
26, 27.8, 8.4, 29.1, 7.1
27, 22.2, 7.0, 24.1, 5.6
28, 14.4, 12.9, 18.5, 22.9
29, 26.8, 12.2, 19.1, 9.0
30, 15.7, 5.4, 28.0, 11.7
31, 20.1, 4.7, 26.4, 7.7
32, 8.8, 9.4, 15.3, 24.0
33, 23.7, 7.2, 30.0, 9.9
34, 23.6, 12.8, 18.2, 19.8
35, 11.1, 11.7, 24.9, 7.7
36, 7.4, 7.0, 28.5, 11.2
37, 13.2, 4.5, 22.9, 11.5
38, 25.9, 3.4, 27.9, 16.5
39, 15.9, 10.0, 25.3, 7.8
40, 27.3, 6.9, 25.8, 10.1
41, 19.9, 12.3, 29.0, 18.9
42, 23.4, 6.4, 28.2, 21.1
43, 28.1, 5.8, 17.2, 16.9
44, 12.6, 13.3, 21.3, 7.4
45, 11.9, 12.6, 17.8, 12.4
46, 21.2, 5.8, 20.5, 14.4
47, 29.4, 3.8, 18.5, 14.5
48, 15.7, 5.5, 29.4, 24.1
49, 28.3, 10.2, 29.8, 16.5
50, 21.3, 6.1, 25.2, 6.6
51, 23.7, 12.8, 24.5, 19.1
52, 17.9, 12.7, 15.4, 13.4
53, 19.8, 9.2, 27.7, 24.3
54, 12.4, 12.7, 20.6, 15.9
55, 27.7, 10.3, 22.5, 6.3
56, 18.4, 13.6, 21.4, 5.3
57, 28.9, 11.9, 20.6, 16.4
58, 28.5, 8.4, 16.2, 20.4
59, 23.6, 8.7, 20.2, 19.7
60, 11.3, 12.8, 17.7, 5.7
61, 19.6, 12.3, 22.9, 19.3
62, 9.5, 10.9, 22.6, 7.3
63, 21.9, 3.6, 19.9, 13.0
64, 12.6, 8.2, 20.1, 18.9
65, 29.7, 3.1, 23.1, 13.3
66, 5.1, 10.6, 23.8, 13.2
67, 10.1, 11.9, 29.4, 22.3
68, 22.9, 4.4, 24.0, 18.5
69, 26.1, 14.5, 17.5, 13.5
70, 9.8, 11.6, 22.2, 10.1
71, 24.5, 14.7, 23.7, 14.9
72, 24.5, 7.4, 25.0, 7.8
73, 12.9, 4.7, 22.5, 7.5
74, 28.7, 4.0, 21.5, 22.5
75, 24.9, 4.1, 25.5, 9.1
76, 21.5, 3.6, 26.3, 18.7
77, 12.0, 6.6, 15.2, 13.7
78, 25.1, 13.6, 24.3, 6.6
79, 27.1, 5.6, 18.6, 9.2
80, 27.8, 8.1, 22.4, 6.2
81, 21.1, 10.6, 25.3, 23.4
82, 19.0, 12.7, 20.7, 6.2
83, 10.0, 11.4, 24.4, 16.7
84, 15.9, 13.0, 15.6, 15.9
85, 14.5, 12.0, 29.2, 17.9
86, 20.1, 12.3, 19.0, 14.6
87, 14.8, 6.8, 18.2, 16.0
88, 28.1, 11.3, 18.1, 14.6
89, 6.5, 5.1, 17.7, 22.4
90, 11.7, 13.8, 21.4, 24.1
91, 15.9, 5.8, 16.8, 12.6
92, 5.1, 7.5, 23.6, 22.6
93, 5.7, 12.0, 27.3, 5.8
94, 23.2, 5.0, 25.0, 19.9
95, 10.1, 9.9, 20.1, 12.3
96, 7.5, 8.5, 16.8, 9.6
97, 15.6, 13.6, 20.6, 22.1
98, 8.1, 5.0, 24.6, 23.9
99, 14.6, 9.7, 17.5, 5.5
100, 9.2, 13.1, 25.2, 24.9
101, 12.0, 3.9, 20.2, 15.8
102, 14.5, 7.8, 26.7, 14.7
103, 24.8, 5.1, 28.1, 8.5
104, 12.2, 10.3, 19.7, 7.9
105, 13.4, 12.0, 30.0, 16.4
106, 15.0, 8.3, 16.6, 13.3
107, 14.8, 13.0, 27.0, 19.4
108, 24.3, 5.3, 25.4, 24.9
109, 11.8, 13.1, 17.8, 16.9
110, 26.2, 9.1, 19.3, 13.4
111, 23.0, 5.5, 23.3, 10.9
112, 16.3, 7.5, 19.9, 9.4
113, 26.7, 14.4, 27.4, 23.9
114, 14.0, 3.5, 21.9, 19.1
115, 22.1, 12.3, 18.2, 17.7
116, 21.2, 10.5, 25.1, 20.3
117, 7.5, 14.3, 16.0, 23.0
118, 16.6, 7.1, 26.0, 20.7
119, 17.2, 12.3, 15.7, 7.5
120, 16.4, 8.9, 19.3, 23.9
121, 10.5, 11.6, 20.9, 5.8
122, 14.0, 5.5, 27.2, 9.4
123, 25.1, 6.7, 21.2, 22.5
124, 22.5, 7.6, 24.2, 17.6
125, 21.3, 13.0, 25.7, 16.4
126, 29.0, 11.4, 16.3, 19.4
127, 16.7, 7.3, 27.5, 21.8
128, 15.2, 12.1, 22.2, 18.8
129, 5.9, 13.7, 27.9, 15.0
130, 11.4, 5.4, 26.7, 8.3
131, 15.6, 3.5, 27.1, 7.3
132, 26.0, 7.0, 29.0, 18.5
133, 29.4, 5.8, 26.0, 24.8
134, 21.1, 7.3, 17.8, 7.6
135, 16.7, 13.7, 20.5, 15.8
136, 27.4, 12.7, 17.3, 15.9
137, 11.6, 14.7, 21.6, 15.6
138, 26.9, 12.4, 15.1, 13.9
139, 28.7, 3.5, 19.8, 12.3
140, 8.7, 5.7, 24.9, 7.8
141, 29.2, 8.8, 25.6, 21.8
142, 8.4, 3.7, 23.0, 11.7
143, 15.0, 5.0, 16.1, 12.9
144, 13.3, 12.3, 22.7, 13.4
145, 12.0, 14.5, 22.8, 20.9
146, 10.1, 3.7, 25.1, 15.4
147, 24.4, 6.8, 20.6, 11.5
148, 5.2, 14.3, 17.5, 14.3
149, 12.0, 6.3, 26.2, 11.2
150, 24.8, 7.8, 27.9, 10.4
151, 17.6, 13.1, 19.2, 11.2
152, 10.1, 13.5, 18.4, 19.0
153, 22.9, 3.8, 17.6, 19.2
154, 10.4, 11.4, 24.0, 5.1
155, 14.9, 6.1, 18.4, 21.9
156, 10.2, 7.6, 23.3, 19.3
157, 12.8, 11.7, 16.0, 14.0
158, 7.0, 5.0, 16.1, 22.6
159, 23.9, 11.6, 24.4, 20.1
160, 15.6, 12.9, 25.3, 22.7
161, 8.2, 6.2, 25.0, 22.0
162, 5.6, 13.2, 20.7, 14.3
163, 11.7, 11.0, 24.0, 23.5
164, 18.8, 5.3, 16.4, 24.1
165, 18.4, 11.2, 28.5, 7.9
166, 18.7, 10.8, 26.4, 11.6
167, 8.7, 3.1, 30.0, 10.4
168, 21.7, 3.8, 28.8, 23.9
169, 28.3, 10.2, 28.8, 17.8
170, 7.7, 14.9, 27.3, 5.7
171, 23.3, 4.3, 16.5, 18.3
172, 8.0, 14.7, 26.9, 24.9
173, 23.8, 8.8, 18.1, 17.0
174, 13.0, 8.6, 21.4, 20.3
175, 8.2, 14.2, 22.9, 20.3
