1, 63.5, C
2, 52.4, C
3, 54.7, C
4, 71.2, B
5, 59.7, C
6, 68.0, B
7, 42.3, D
8, 88.5, A
9, 62.9, C
10, 68.2, B
11, 73.3, B
12, 59.6, C
13, 42.9, D
14, 55.9, C
15, 54.0, C
16, 82.1, A
17, 59.8, C
18, 65.3, B
19, 51.9, C
20, 58.8, C
21, 86.4, A
22, 72.6, B
23, 57.1, C
24, 54.2, C
25, 54.1, C
26, 72.4, B
27, 58.9, C
28, 68.7, B
29, 67.1, B
30, 60.8, C
31, 58.9, C
32, 57.5, C
33, 70.8, B
34, 74.4, B
35, 55.4, C
36, 54.1, C
37, 52.1, C
38, 73.7, B
39, 59.0, C
40, 70.1, B
41, 80.1, A
42, 79.1, B
43, 68.0, B
44, 54.6, C
45, 54.7, C
46, 61.9, C
47, 66.2, B
48, 74.7, B
49, 84.8, A
50, 59.2, C
51, 80.1, A
52, 59.4, C
53, 81.0, A
54, 61.6, C
55, 66.8, B
56, 58.7, C
57, 77.8, B
58, 73.5, B
59, 72.2, B
60, 47.5, D
61, 74.1, B
62, 50.3, C
63, 58.4, C
64, 59.8, C
65, 69.2, B
66, 52.7, C
67, 73.7, B
68, 69.8, B
69, 71.6, B
70, 53.7, C
71, 77.8, B
72, 64.7, B
73, 47.6, D
74, 76.7, B
75, 63.6, C
76, 70.1, B
77, 47.5, D
78, 69.6, B
79, 60.5, C
80, 64.5, B
81, 80.4, A
82, 58.6, C
83, 62.5, C
84, 60.4, C
85, 73.6, B
86, 66.0, B
87, 55.8, C
88, 72.1, B
89, 51.7, C
90, 71.0, B
91, 51.1, C
92, 58.8, C
93, 50.8, C
94, 73.1, B
95, 52.4, C
96, 42.4, D
97, 71.9, B
98, 61.6, C
99, 47.3, D
100, 72.4, B
101, 51.9, C
102, 63.7, C
103, 66.5, B
104, 50.1, C
105, 71.8, B
106, 53.2, C
107, 74.2, B
108, 79.9, A
109, 59.6, C
110, 68.0, B
111, 62.7, C
112, 53.1, C
113, 92.4, A
114, 58.5, C
115, 70.3, B
116, 77.1, B
117, 60.8, C
118, 70.4, B
119, 52.7, C
120, 68.5, B
121, 48.8, D
122, 56.1, C
123, 75.5, B
124, 71.9, B
125, 76.4, B
126, 76.1, B
127, 73.3, B
128, 68.3, B
129, 62.5, C
130, 51.8, C
131, 53.5, C
132, 80.5, A
133, 86.0, A
134, 53.8, C
135, 66.7, B
136, 73.3, B
137, 63.5, C
138, 68.3, B
139, 64.3, B
140, 47.1, D
141, 85.4, A
142, 46.8, D
143, 49.0, D
144, 61.7, C
145, 70.2, B
146, 54.3, C
147, 63.3, C
148, 51.3, C
149, 55.7, C
150, 70.9, B
151, 61.1, C
152, 61.0, C
153, 63.5, C
154, 50.9, C
155, 61.3, C
156, 60.4, C
157, 54.5, C
158, 50.7, C
159, 80.0, A
160, 76.5, B
161, 61.4, C
162, 53.8, C
163, 70.2, B
164, 64.6, B
165, 66.0, B
166, 67.5, B
167, 52.2, C
168, 78.2, B
169, 85.1, A
170, 55.6, C
171, 62.4, C
172, 74.5, B
173, 67.7, B
174, 63.3, C
175, 65.6, B
176, 51.9, C
177, 67.9, B
178, 57.6, C
179, 47.3, D
180, 66.4, B
181, 78.2, B
182, 74.5, B
183, 45.8, D
184, 76.8, B
185, 57.2, C
186, 60.2, C
187, 71.4, B
188, 59.0, C
189, 56.3, C
190, 66.0, B
191, 80.8, A
192, 63.7, C
193, 65.1, B
194, 65.4, B
195, 74.8, B
196, 77.5, B
197, 58.8, C
198, 55.5, C
199, 64.4, B
200, 88.8, A
201, 63.0, C
202, 78.9, B
203, 70.2, B
204, 62.7, C
205, 55.0, C
206, 62.2, C
207, 60.3, C
208, 71.5, B
209, 73.7, B
210, 68.8, B
211, 75.6, B
212, 60.8, C
213, 57.5, C
214, 42.5, D
215, 63.0, C
216, 65.2, B
217, 68.5, B
218, 77.6, B
219, 63.2, C
220, 58.3, C
221, 69.3, B
222, 73.5, B
223, 71.7, B
224, 69.0, B
225, 57.7, C
226, 71.0, B
227, 51.7, C
228, 69.5, B
229, 71.1, B
230, 72.2, B
231, 61.3, C
232, 64.6, B
233, 55.9, C
234, 58.5, C
235, 68.3, B
236, 73.3, B
237, 75.3, B
238, 70.7, B
239, 67.3, B
240, 70.9, B
241, 69.2, B
242, 60.4, C
243, 52.1, C
244, 73.0, B
245, 49.5, C
246, 72.0, B
247, 65.7, B
248, 68.5, B
249, 62.0, C
250, 62.0, C
251, 62.5, C
252, 46.8, D
253, 62.8, C
254, 65.2, B
255, 72.9, B
256, 63.9, C
257, 60.1, C
258, 74.5, B
259, 62.2, C
260, 44.0, D
261, 69.9, B
262, 70.1, B
263, 55.9, C
264, 64.7, B
265, 73.7, B
266, 55.4, C
267, 59.3, C
268, 52.3, C
269, 56.4, C
270, 83.1, A
271, 60.5, C
272, 59.3, C
273, 71.6, B
274, 48.2, D
275, 58.2, C
276, 92.1, A
277, 45.2, D
278, 61.1, C
279, 52.0, C
280, 61.8, C
281, 56.2, C
282, 62.6, C
283, 69.8, B
284, 57.1, C
285, 63.7, C
286, 64.7, B
